document	page	drawsAny	dictWidth	dictDPI	dictRebuildDPI	drawnKind	drawnWidth	drawnDPI	drawnRebuildDPI	policyMoves	verdict	shippedRebuildDPI	formDepth	bareDepth	nestVerdict
Friedman_1962_Capitalism and freedom_University of Chicago Press	17	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	18	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	19	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	20	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	21	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	22	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	23	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	24	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	25	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	26	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	27	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	28	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	29	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	30	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	31	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	32	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	33	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	34	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	35	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	36	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	37	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	38	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	39	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	40	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	41	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	42	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	43	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	44	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	45	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	46	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	47	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	48	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	49	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	50	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	51	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	52	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	53	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	54	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	55	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	56	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	57	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	58	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	59	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	60	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	61	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	62	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	63	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	64	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	65	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	66	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	67	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	68	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	69	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	70	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	71	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	72	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	73	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	74	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	75	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	76	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	77	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	78	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	79	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	80	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	81	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	82	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	83	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	84	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	85	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	86	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	87	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	88	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	89	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	90	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	91	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	92	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	93	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	94	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	95	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	96	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	97	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	98	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	99	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	100	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	101	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	102	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	103	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	104	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	105	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	106	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	107	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	108	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	109	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	110	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	111	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	112	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	113	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	114	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	115	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	116	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	117	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	118	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	119	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	120	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	121	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	122	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	123	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	124	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	125	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	126	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	127	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	128	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	129	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	130	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	131	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	132	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	133	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	134	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	135	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	136	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	137	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	138	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	139	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	140	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	141	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	142	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	143	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	144	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	145	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	146	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	147	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	148	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	149	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	150	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	151	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	152	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	153	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	154	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	155	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	156	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	157	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	158	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	159	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	160	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	161	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	162	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	163	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	164	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	165	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	166	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	167	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	168	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	169	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	170	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	171	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	172	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	173	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	174	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	175	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	176	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	177	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	178	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	179	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	180	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	181	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	182	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	183	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
